,3prime,tAI,max_5_UTR_length,TCGA-BH-A0BV,TCGA-BH-A0BV.1
SLC39A10,2661.0,0.346494338,214.0,0.078848,0.120866942
SLC44A1,8291.0,0.4365497,264.0,0.21747,-0.182042416
SLC9A3R1,709.0,0.400889529,235.0,0.788472,-0.019044296
SMAP2,1225.0,0.404145004,415.0,0.001708,0.025580259
SMC1A,5954.0,0.490702048,340.0,1.222242,0.194042953
SMG5,1363.0,0.383248033,540.0,-0.190211,0.185004917
SMS,2660.0,0.417677888,252.0,-0.060813,-0.107303799
SMYD3,223.0,0.378821529,130.0,0.433979,0.245338742
SNRNP200,676.0,0.454045162,132.0,0.045383,-0.156062852
SNRPC,474.0,0.427936125,450.0,0.008362,-0.225922854
SNRPD1,4386.0,0.384326147,161.0,-0.269642,-0.104328051
SNRPN,279.0,0.390283395,1145.0,-0.447185,0.208742753
SNX24,5071.0,0.338464018,185.0,-0.79445,0.600954244
SNX30,6144.0,0.426743352,148.0,0.057124,0.424688434
SNX33,5086.0,0.383330712,96.0,0.134307,0.206522672
SOD1,353.0,0.438546885,148.0,0.436238,0.251455782
SOD2,13436.0,0.435065133,1828.0,-0.812773,0.080231453
SP110,3922.0,0.401738483,258.0,0.892185,-0.410786388
SPC24,1691.0,0.381793277,320.0,0.021106,-0.176808328
SPC25,540.0,0.373816265,131.0,-0.60092,-0.493672801
SPCS1,3333.0,0.417439524,205.0,0.325648,-0.140139832
SPI1,383.0,0.406748349,223.0,0.658338,0.17294198
SPRYD4,1406.0,0.430591965,75.0,-0.812684,-0.301884125
SQSTM1,1485.0,0.412192979,360.0,-0.253003,-0.847006867
SRC,2671.0,0.437602812,449.0,0.025617,-0.019458985
SRGAP2,3018.0,0.377689891,542.0,0.139772,0.008875508
SRI,5365.0,0.424260151,79.0,0.072125,0.250830321
SRP19,2645.0,0.430943803,189.0,0.070933,0.127365599
SRPRB,1784.0,0.427990824,285.0,0.198993,-0.497694106
SRR,1392.0,0.393840903,354.0,0.9997,0.561303138
SRXN1,2099.0,0.37663928,185.0,-0.072177,-0.157570203
SS18L2,777.0,0.45997865,208.0,-0.327015,-0.214384854
SSH3,2595.0,0.376349937,178.0,2.206662,1.265031603
SSR2,592.0,0.425839932,80.0,0.210792,-0.096615842
SSR3,3698.0,0.388415977,156.0,0.561672,-0.709420503
SSR4,87.0,0.444947593,150.0,0.578678,-0.254880814
SSRP1,422.0,0.394601844,267.0,-0.477048,-0.281573741
SSU72,400.0,0.445120823,325.0,-0.362907,-0.160875344
ST13,3666.0,0.439823793,468.0,-0.343569,-0.209099925
ST14,553.0,0.454138745,193.0,-0.261674,-0.495916052
STAP1,541.0,0.398288494,113.0,-0.935348,0.507631958
STARD10,1682.0,0.427301627,944.0,1.189483,0.46474076
STAT1,3294.0,0.408136156,388.0,0.7167,-0.739084092
STAT2,1791.0,0.409862748,203.0,0.240204,-0.155470162
STAT6,1168.0,0.380869476,499.0,0.421055,0.194626139
STMN1,1138.0,0.394107416,364.0,1.3e-05,-0.522719301
STOM,2222.0,0.387137797,117.0,-1.550033,-0.799542228
STOML2,531.0,0.456962681,143.0,-0.149569,0.004999263
STX3,5058.0,0.403902965,547.0,-0.77951,0.341574933
STX7,14891.0,0.417568039,327.0,-0.132463,0.039917953
STX8,107.0,0.378438911,150.0,0.352498,0.54310377
SUCLG1,223.0,0.43877655,193.0,-0.53602,0.240206901
SUFU,3380.0,0.361614756,191.0,0.013431,-0.313395477
SUMF1,999.0,0.37076871,37.0,-0.322568,-0.084472907
SUPT4H1,1112.0,0.438747077,103.0,0.391117,0.513388013
SURF2,1720.0,0.440503417,48.0,0.047248,0.167651994
SURF4,2281.0,0.385472445,476.0,0.114835,-0.287294211
SURF6,4908.0,0.42467207,78.0,-0.245245,0.275744143
SUV39H1,1669.0,0.463566826,266.0,0.239429,0.169532248
SYTL1,80.0,0.364244725,197.0,0.173239,0.650910084
TACC3,165.0,0.385699108,155.0,-0.645232,-0.160175576
TAF12,689.0,0.435926756,522.0,0.24019,0.680695147
TAP2,5256.0,0.374969764,175.0,-0.03011,-1.051369499
TATDN2,2040.0,0.415810908,581.0,-0.007579,0.392289696
TBC1D20,3109.0,0.435441414,148.0,-0.153405,0.090558383
TBC1D9B,1396.0,0.395340616,37.0,0.419972,-0.078234812
TBCC,556.0,0.434161456,73.0,-0.205493,-0.009198886
TCEAL3,260.0,0.368171822,262.0,1.517985,1.371560622
TCEAL4,3020.0,0.432120515,489.0,1.176219,1.485559587
TCOF1,1640.0,0.41523122,108.0,0.90648,0.244270575
TDP1,1721.0,0.418036689,317.0,0.13581,0.140492689
TDRD7,242.0,0.375852104,234.0,0.740599,-0.024362204
TDRKH,973.0,0.419795099,182.0,0.01589,0.133695864
TEP1,2777.0,0.379550228,40.0,-0.007405,-0.194105455
TFEB,621.0,0.429366592,302.0,-0.173138,0.177531905
THADA,112.0,0.415199561,352.0,-0.220523,-0.243644042
THUMPD1,2715.0,0.455087735,225.0,-0.356932,-0.061881089
THYN1,205.0,0.377954149,484.0,-0.047067,0.544821661
TIMM50,3932.0,0.424829064,722.0,-0.139377,-0.442093232
TIMM8B,2046.0,0.447942532,30.0,-0.832904,0.11456825
TK2,3965.0,0.360054507,593.0,0.285365,0.377505962
TLE1,571.0,0.374791795,1295.0,-0.424453,0.000609073
TM9SF2,2020.0,0.372522209,233.0,-0.101301,-0.817216908
TMED3,1710.0,0.439016102,188.0,-0.082059,-0.189389459
TMED9,708.0,0.44685712,67.0,-0.058494,-0.055877081
TMEM126A,52.0,0.406087664,295.0,-0.57338,-0.350687357
TMEM199,2431.0,0.370998168,90.0,0.323985,-0.453482746
TMEM63A,1407.0,0.385482014,622.0,0.307732,-0.161980158
TMOD1,2050.0,0.392927141,213.0,-1.537358,0.168080331
TMSB10,278.0,0.470652003,95.0,-0.355173,-0.69700651
TNFAIP1,2409.0,0.451408648,449.0,-0.092154,0.221029611
TNFAIP2,2079.0,0.44214387,131.0,-0.806716,-0.913146972
TNFAIP3,1995.0,0.416242917,370.0,0.094263,0.297866235
TNFAIP8L2,497.0,0.440670719,126.0,0.65759,-0.283935201
TNIP1,770.0,0.448321216,241.0,0.530795,0.661629835
TNK2,822.0,0.420245651,543.0,-0.638819,0.09690277
TNPO2,2070.0,0.408799881,358.0,-0.219225,-0.48362329
TNRC18,1316.0,0.449521205,349.0,0.641001,-0.211875231
TOMM5,518.0,0.441712708,107.0,-0.385677,0.506662432
TOP2A,1003.0,0.364102812,159.0,0.661877,-0.457640357
TOR1A,3160.0,0.446121485,77.0,0.237068,0.098584295
TPD52L2,1600.0,0.385071878,138.0,-0.280674,-0.201903737
TPI1,620.0,0.479135356,527.0,-0.241029,0.509483245
TPM1,757.0,0.403626605,257.0,-0.461088,0.130625217
TRAF1,7433.0,0.438949906,572.0,-0.26583,-0.053168489
TRAF3,5716.0,0.386659664,353.0,-0.091514,-0.153570284
TRAF6,6100.0,0.426668941,381.0,-0.007755,-0.006911806
TRAPPC3,634.0,0.441060625,519.0,-0.219208,-0.007570395
TRAPPC5,42.0,0.453352607,241.0,0.503971,0.13224086
TRAPPC6B,2539.0,0.437369008,335.0,-0.139924,0.134215508
TRAPPC9,3079.0,0.431357199,134.0,0.473376,-0.101772064
TRIM14,3117.0,0.369225689,165.0,0.007616,0.107639892
TRIM22,1215.0,0.424423711,379.0,0.226663,-0.295548848
TRIM26,1431.0,0.384319522,565.0,-0.131181,0.092594681
TRIM27,2956.0,0.441704825,359.0,-0.266913,-0.267197621
TRIM41,1657.0,0.454716896,737.0,0.240514,-0.065589655
TRIM5,2312.0,0.426412011,303.0,-0.154511,0.325256766
TRIP12,3739.0,0.40441217,297.0,0.368037,-0.175223522
TRIP13,2852.0,0.433721983,145.0,-0.828837,-0.767994704
TRMT5,3660.0,0.405137655,572.0,0.191838,-0.008645894
TRUB2,4655.0,0.434714666,759.0,-0.450125,-0.289298416
TSFM,1390.0,0.429356434,57.0,-0.65138,-0.343097981
TSPYL1,7303.0,0.373212405,287.0,0.381037,-0.66178374
TSR2,1366.0,0.464925113,443.0,0.712863,0.353324425
TTC39C,3394.0,0.378954091,452.0,0.632367,0.319130888
TTC7A,2213.0,0.393400181,1272.0,-1.037563,-0.176725678
TTPAL,5319.0,0.425556123,145.0,-0.001856,0.148849718
TUBA1C,110.0,0.451729991,576.0,-0.131166,-0.011319019
TUBA4A,644.0,0.402818439,556.0,-1.648708,-0.207103618
TUBB,1030.0,0.390058461,509.0,-0.031872,-0.137761921
TUBB6,2302.0,0.468445054,1139.0,-0.737259,0.031279816
TUBGCP4,1934.0,0.368175973,296.0,0.818171,-0.36142653
TUSC1,1294.0,0.429789613,537.0,-0.444502,-0.137301884
TXNL4A,3129.0,0.472736328,466.0,-0.090176,0.139780257
TYMP,18.0,0.429537249,376.0,1.231985,-0.275333899
TYMS,581.0,0.364557025,159.0,-0.234783,-0.228951665
TYROBP,168.0,0.417048036,81.0,0.546662,-0.04182354
UBAP2L,353.0,0.367068802,167.0,0.523069,0.000991911
UBE2B,4002.0,0.405496028,420.0,-0.149928,0.49690625
UBE2E1,1034.0,0.417917446,229.0,-0.37479,1.161223521
UBE2L3,2365.0,0.455573936,198.0,-0.529843,-0.450677279
UBE2L6,703.0,0.431638779,653.0,0.06335,-0.793308205
UBE4B,1283.0,0.418913915,688.0,-0.132663,0.037524462
UBIAD1,2303.0,0.446280173,334.0,0.320135,-0.288191012
UBR4,797.0,0.387393976,4.0,-0.053544,-0.159566756
UBTF,2209.0,0.400105612,296.0,0.010734,-0.010215991
UBXN1,220.0,0.422601268,194.0,0.26563,0.071784211
UCK2,4043.0,0.447469338,640.0,-0.521646,-0.020735585
UGGT1,5935.0,0.374564832,178.0,0.16613,0.023776398
UHRF1BP1,5130.0,0.373569339,234.0,0.308918,-0.081662794
UNC45A,377.0,0.475530537,1022.0,0.030998,-0.456233934
UNG,1024.0,0.368897526,209.0,-0.323109,0.250334781
UNK,1388.0,0.447315534,42.0,-0.101424,0.031382763
UQCR11,4379.0,0.470309826,75.0,0.185415,-0.192993465
UQCRC1,129.0,0.462829321,45.0,0.236559,0.319848993
UQCRH,193.0,0.365128489,320.0,-0.45813,-0.257957934
UROD,171.0,0.391539164,133.0,-0.306226,-0.107169446
UROS,3849.0,0.422413435,266.0,0.325588,0.303233082
USP18,580.0,0.434940763,338.0,0.578253,-1.733889662
USP39,571.0,0.39295741,223.0,-0.044569,-0.527927525
UTP6,2466.0,0.429918331,83.0,0.25842,-0.220413852
VAC14,489.0,0.396517204,827.0,0.305753,-0.012376778
VAMP8,451.0,0.398153421,156.0,0.041963,-0.082397752
VASP,824.0,0.388921088,342.0,-0.125537,0.156097357
VAT1,1456.0,0.406330787,120.0,0.064188,-0.0530603
VDAC3,475.0,0.440388181,210.0,2.403334,1.345313203
VGLL4,2489.0,0.432812067,506.0,-0.275352,0.108796959
VIM,431.0,0.411136971,462.0,-0.172106,0.316917248
VPS28,291.0,0.476756313,109.0,0.010449,-0.405648242
VPS33B,559.0,0.447669729,583.0,-0.126113,0.002520378
VPS39,2053.0,0.440628838,173.0,0.441129,0.039735068
VPS52,2870.0,0.393546356,887.0,0.092006,-0.11630086
WASF2,4090.0,0.365213822,245.0,-0.548063,-0.016458554
WBP2,1040.0,0.392225719,515.0,0.230955,0.272981324
WDFY2,7044.0,0.36603015,340.0,-0.877794,0.043806975
WDR1,1039.0,0.393247178,368.0,0.210121,0.210239295
WDR36,3619.0,0.40459335,117.0,-0.26081,-0.347632452
WDR37,8068.0,0.365587877,173.0,-0.790881,0.013318351
WDR4,293.0,0.380589271,581.0,-0.696614,-0.343344347
WDR47,1216.0,0.402106333,376.0,0.417259,-0.011262047
WDR48,1924.0,0.419028298,472.0,0.91151,0.317828462
WDR5,1979.0,0.401607191,171.0,-0.624064,0.162700707
WDR54,97.0,0.394793766,128.0,-0.061987,0.154141838
WDR61,197.0,0.411764619,310.0,0.059683,0.218777285
WDR77,4184.0,0.412330102,139.0,-0.093239,-0.222752914
WDR91,4946.0,0.380864599,823.0,-0.382307,0.041693132
WDR92,2520.0,0.427217839,117.0,-0.662584,0.010880738
YTHDF1,1279.0,0.384821843,294.0,-0.164978,-0.048752573
YTHDF3,3082.0,0.406652071,509.0,-0.366769,-0.112862775
YY1,5192.0,0.440120149,480.0,-0.208139,0.342484013
ZBED1,2221.0,0.457533868,282.0,0.49707,0.269625285
ZBTB8OS,1087.0,0.406816332,276.0,-0.26444,-0.035622681
ZC3H12A,768.0,0.421626239,1056.0,-0.793638,0.326610964
ZC3H4,2169.0,0.436042942,38.0,0.336334,0.12083253
ZFP36L1,2846.0,0.395541595,976.0,-0.364697,0.184666495
ZMAT2,1942.0,0.460376067,101.0,0.190095,0.220715977
ZMIZ2,4165.0,0.419562196,128.0,0.049981,-1.306412444
ZMYM3,1292.0,0.378831729,749.0,0.523432,0.062904628
ZNF207,13817.0,0.386696564,148.0,-0.089343,-0.015023604
ZNF511,243.0,0.452392726,55.0,-0.110457,0.058262756
ZNF516,4816.0,0.393186692,318.0,0.826753,-0.302711858
ZNF622,1298.0,0.463753859,120.0,0.147969,-0.182147798
ZNHIT2,49.0,0.440612513,85.0,-2.491301,0.076035317
ZWINT,4585.0,0.411772707,37.0,-0.746329,0.012659507
